SMILES,pIC50,pIC50-min,pIC50-max
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C#N,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(N)(=O)=O)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)-c1ncon1,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)C(F)(F)F)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)C(F)(F)F)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(=O)(=O)N(C)C,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C(F)F,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(O)nc12,<6.52,6.221848749616356,6.522878745280337
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccccc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cncc(c2)S(C)(=O)=O)c2cc(Cl)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1cn(C\C(F)=C\CN)c2ccc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(Cl)ccc12,<6.52,6.221848749616356,6.522878745280337
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(SC)c3)c2n1,<6.52,6.221848749616356,6.522878745280337
COc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(C)(=O)=O)c2n1,<6.52,6.221848749616356,6.522878745280337
CNS(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(F)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(Cl)cnc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ncc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2c(Cl)cccc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2cccc(Cl)c12,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccncc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cccnc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(n1)-c1c(C)n(C\C(F)=C\CN)c2ccc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)C1CC1,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cncnc2)c2cc(Cl)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3ccncc3)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1ccc(C)c(c1)-c1c(C)n(C\C(F)=C\CN)c2c(F)cc(Cl)cc12,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cncc(c2)S(N)(=O)=O)c2cc(Cl)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)S(N)(=O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(OC(F)(F)F)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3ccccc3)c2c1,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccccc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cc(C)nc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)C(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cc(C)nc(C)c3)c2c1,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccncc2)c2cc(ccc2n1C\C(F)=C\CN)C(=O)NC(C)(C)C,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccc3OCOc3c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccc(F)cc2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccnc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2ccc(F)cc2)c2cc(ccc2n1C\C(F)=C\CN)S(N)(=O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cncc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2ccccc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
COc1cc(ccn1)-c1c(C)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2cccnc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(Cl)n(C\C(F)=C\CN)c2ccc(cc12)S(C)(=O)=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cc(C)nc(C)c2)c2cc(ccc2n1C\C(F)=C\CN)[N+]([O-])=O,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cc(C)nc(C)c2)c2cc(NS(C)(=O)=O)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
COCc1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(NS(C)(=O)=O)cc12,<6.52,6.221848749616356,6.522878745280337
CN(C)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2n1,<6.52,6.221848749616356,6.522878745280337
CC(C)S(=O)(=O)c1ccc2n(C\C(F)=C\CN)c(C)c(-c3cccc(c3)S(=O)(=O)N(C)C)c2c1,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(C)nc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2cc(F)cnc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(F)nc12,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(F)(F)F,<6.52,6.221848749616356,6.522878745280337
CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)n(C\C(F)=C\CN)c2ccc(nc12)C(C)(F)F,<6.52,6.221848749616356,6.522878745280337
Cc1c(-c2cccc(c2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,<6.52,6.221848749616356,6.522878745280337
