SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
CC1=NC2=C(C=CC=C2N=C1C3=CC=CC(=C3)C4=CC=C(C=C4)S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CCS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3C)C(F)(F)F,132,nM,original,132.0,132.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)NC)C(F)(F)F,81,nM,original,81.0,81.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)C(=O)NC)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CCC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,18,nM,original,18.0,18.0
CS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=C(N=C2C=CC=C(C2=N1)Cl)C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C,34,nM,original,34.0,34.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C#N,299,nM,original,299.0,299.0
CC1=C(N=C2C=CC=C(C2=N1)OC)C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C,395,nM,original,395.0,395.0
CS(=O)(=O)C1=CC(=CC(=C1)OC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)N)C(F)(F)F)Cl,1770,nM,original,1770.0,1770.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC=C(C=C4)S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC=CC=C4S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=CC(=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=CC(=C3)C4=CC=C(C=C4)S(=O)(=O)C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CCS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3C)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)NC)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)C(=O)NC)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CCC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F,165,nM,original,165.0,165.0
CS(=O)(=O)C1=CC=CC(=C1)C2=CC=C(C=C2)C3=NC4=CC=CC(=C4N=C3)C(F)(F)F,>1000,nM,original,1000.0,2000.0
CC1=C(N=C2C=CC=C(C2=N1)Cl)C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C,734,nM,original,734.0,734.0
CC1=NC2=C(C=CC=C2N=C1C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C)C#N,>1000,nM,original,1000.0,2000.0
CC1=C(N=C2C=CC=C(C2=N1)OC)C3=CC=C(C=C3)C4=CC(=CC=C4)S(=O)(=O)C,>1000,nM,original,1000.0,2000.0
C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,1000,nM,original,1000.0,1000.0
C1=CC=C(C(=C1)CN2C(=C3C=CC=C(C3=N2)C(F)(F)F)C4=CC=C(C=C4)F)F,7200,nM,original,7200.0,7200.0
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC(C)C)N,1600,nM,original,1600.0,1600.0
CN1C=NC=C1C2=NC=C(N2C)C3=NC=C(N3C)C4=NC=C(N4C)C5=CC=CC=C5,11200,nM,original,11200.0,11200.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCOCC5,5740,nM,original,5740.0,5740.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCOCC5,>30000,nM,original,30000.0,60000.0
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCOCC5,>30000,nM,original,30000.0,60000.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCOC)CC3=CC(=CC=C3)OC,6400,nM,original,6400.0,6400.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC=CC=C3Br,24200,nM,original,24200.0,24200.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC(=CC=C3)OC(F)(F)F,20800,nM,original,20800.0,20800.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=C(C=CC(=C3)F)F,10700,nM,original,10700.0,10700.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC=C(C=C3)F,27800,nM,original,27800.0,27800.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=C(C(=CC=C3)Cl)F,5700,nM,original,5700.0,5700.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC(=CC=C3)OC,2400,nM,original,2400.0,2400.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=C(C=C(C=C3)F)F,26000,nM,original,26000.0,26000.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC(=C(C=C3)F)C(F)(F)F,7800,nM,original,7800.0,7800.0
