SMILES,IC50,IC50-min,IC50-max
NCCCC[C@@H]1NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)c1ccccc1)C(N)=O)c2,50.0,50.0,50.0
NCCCC[C@@H]1NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@@H]3C[C@@H](Cc4ccccc4)CN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(N)=O)c2,550.0,550.0,550.0
NCCCC[C@@H]1NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@@H]3C[C@@H](CN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(F)(F)F)C(N)=O)c2,50.0,50.0,50.0
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSCCNC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(C)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC1=O)c2,550.0,550.0,550.0
C[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSCCNC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(cc3)C#N)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC1=O)c2,550.0,550.0,550.0
NCCCC[C@@H]1NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C1CCCCC1)C(N)=O)c2,35500.0,35500.0,35500.0
C[C@@H]1NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(N)=O)c2,6550.0,6550.0,6550.0
C[C@@H]1NC(=O)[C@H](CC(=O)NCCOc2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(N)=O)cc2)NC(C)=O,6550.0,6550.0,6550.0
C[C@@H]1NC(=O)[C@H](CCC(=O)NCCOc2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(N)=O)cc2)NC(C)=O,550.0,550.0,550.0
C[C@@H]1NC(=O)[C@H](CCCCNC(=O)c2ccc(C[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4cc(F)ccc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC1=O)C(N)=O)cc2)NC(C)=O,550.0,550.0,550.0
