Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Medium
Family: nn
Endpoint: pIC50
Species: all_SP
Total Features: 3599
Top Features Count: 198
Cumulative Importance: 0.1994
================================================================================

                 feature  importance  importance_normalized  cumulative
      FP_AtomPair1024_21    0.001316               0.000788    0.188428
    FP_Morgan1024_r2_742    0.001315               0.000788    0.189215
  FP_TopoTorsion1024_690    0.001312               0.000786    0.190002
      FP_AtomPair1024_90    0.001312               0.000786    0.190788
    FP_Morgan1024_r2_140    0.001311               0.000786    0.191574
     FP_Morgan1024_r2_10    0.001311               0.000785    0.192359
    FP_Morgan1024_r2_775    0.001311               0.000785    0.193145
          FP_RDKit512_68    0.001307               0.000783    0.193928
     FP_AtomPair1024_400    0.001307               0.000783    0.194711
    FP_Morgan1024_r2_914    0.001301               0.000780    0.195491
   FP_TopoTorsion1024_42    0.001301               0.000779    0.196270
  FP_TopoTorsion1024_425    0.001299               0.000779    0.197049
             FP_MACCS_84    0.001299               0.000778    0.197827
    FP_Morgan1024_r2_547    0.001295               0.000776    0.198603
         FP_RDKit512_287    0.001293               0.000775    0.199377
