SMILES,Ki,Unit,Unit_Source,Ki-min,Ki-max
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H]2CC3=CC(=CC=C3)CNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@]4(C(=O)NCCSCC5=CC=CC(=C5)CSCCC(=O)N1)C)CC6=CC=C(C=C6)OC)[C@@H](C)OC)N(C(=O)[C@@H](NC2=O)CC7=CNC8=C7C=C(C=C8)F)C)C,10.6,nM,original,10.6,10.6
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CNC(=O)COCCOCCN)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,8.2,nM,original,8.2,8.2
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,4.2,nM,original,4.2,4.2
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN(C)C)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,4.2,nM,original,4.2,4.2
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@]3(C(=O)N[C@@H](CSCC4=CC(=CC(=C4)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)F)C(=O)N)C)CC5=CC=C(C=C5)O)[C@@H](C)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,11,nM,original,11.0,11.0
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCC(=O)O)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,85.8,nM,original,85.8,85.8
C[C@H]([C@H]1C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N1)CC5=CNC6=C5C=C(C=C6)F)CC7=CNC8=C7C=C(C=C8)F)CCCCN)C(=O)N)C)CC9=CC=C(C=C9)O)OC,10.1,nM,original,10.1,10.1
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H]2CC3=CC=C(CNC(=O)CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@]4(C(=O)NCCSCC5=CC=CC(=C5)CSCCC(=O)N1)C)CC6=CC=C(C=C6)OC)[C@@H](C)O)NC(=O)[C@@H](NC2=O)CC7=CNC8=C7C=C(C=C8)F)C=C3)C,174.8,nM,original,174.8,174.8
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSC[C@H](NC2=O)C(=O)N)CCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,14.3,nM,original,14.3,14.3
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C[C@H](C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@]3(C(=O)N[C@@H](CSCC4=CC=CC(=C4)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C(=O)N)C)CC5=CC=C(C=C5)O)[C@@H](C)O)F)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,2.1,nM,original,2.1,2.1
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCC[N+](C)(C)C)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,9.5,nM,original,9.5,9.5
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC(=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)F)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,1.5,nM,original,1.5,1.5
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCCC(=O)O)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,80.7,nM,original,80.7,80.7
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H]2CC3=CC(=CC=C3)CNC(=O)C[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@]4(C(=O)NCCSCC5=CC=CC(=C5)CSCCC(=O)N1)C)CC6=CC=C(C=C6)OC)[C@@H](C)O)NC(=O)[C@@H](NC2=O)CC7=CNC8=C7C=C(C=C8)F)C,285,nM,original,285.0,285.0
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H]2CC3=CC(=CC=C3)CNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@]4(C(=O)NCCSCC5=CC=CC(=C5)CSCCC(=O)N1)C)CC6=CC=C(C=C6)OC)[C@@H](C)O)NC(=O)[C@@H](NC2=O)CC7=CNC8=C7C=C(C=C8)F)C,1.5,nM,original,1.5,1.5
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSCCNC2=O)CCCCN)C4CCCC4)CC5=CNC6=C5C=C(C=C6)F)CC7=CNC8=C7C=C(C=C8)F)CC(=O)O)CC9=CN=CN9)CC1=CC=C(C=C1)O,23.1,nM,original,23.1,23.1
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSCCNC2=O)CCCCN)C(C)(C)C)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,4.2,nM,original,4.2,4.2
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSC[C@H](NC2=O)C(=O)N)CCCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,4,nM,original,4.0,4.0
CCC[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,2.7,nM,original,2.7,2.7
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H]2CC3=CN(CC4=CN(C5=CC(=CC(=C5)CSCCNC(=O)[C@@]6(CCCN6C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]7CCCN7C2=O)[C@@H](C)O)CC8=CC=C(C=C8)OC)C)CSCCC(=O)N1)N=N4)C9=C3C=C(C=C9)F)CC1=CNC2=C1C=C(C=C2)F)C,1.36,nM,original,1.36,1.36
C[C@H]([C@H]1C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N1)CC5=CNC6=C5C=C(C=C6)F)CC7=CNC8=C7C=C(C=C8)F)CCCCN)C(=O)N)C)CC9=CC=C(C=C9)O)O,11.7,nM,original,11.7,11.7
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSC[C@H](NC2=O)C(=O)N)CCCCNC(=O)CCOCCOCCOCCOC)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,9.4,nM,original,9.4,9.4
C[C@H]1C(=O)N[C@@H](C(=O)N[C@H]2CC3=CC(=CC=C3)CNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@]4(C(=O)NCCSCC5=CC=CC(=C5)CSCCC(=O)N1)C)CC6=CC=C(C=C6)OC)[C@@H](C)OC)N(C(=O)C(NC2=O)CC7=C8C=C(C=CC8=NC=C7)F)C)C,2.8,nM,original,2.8,2.8
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCO)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,39,nM,original,39.0,39.0
