average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13
6.950781977329818,1.1077944442343703,CN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]1Cc1ccc(O)cc1,2.897671532648617,-0.3517105249280482,-1.4284664758446357,3.529317476586596,-0.8892644843574867,1.4993111951481615,-0.5009939413346663,1.6378044966013428,0.05081250466337102,0.8122437543448844,-0.5650974594936724,0.7052200228634189,-0.5985552488928573,-0.18534827333849718
7.326979092871104,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,6.11778009683568,0.3307232652424815,2.2439769109703196,2.252692900433449,3.6360834188057614,-3.4527765901080905,1.6102372705522545,0.8955098937188971,0.8135671639835369,0.4905123936828637,0.9805345276035939,-0.5463888192181913,0.1751459472301525,0.09528900100086983
6.987162775294828,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,4.0927716031081385,-3.4649645254624866,6.968598246708627,0.3904003053535158,3.6638537802237994,0.03425662884521358,1.4793270046832272,2.527472165717315,0.6683474310558302,-0.3685263328256442,-0.08459531181094918,-0.3646443123989746,-0.13285675067120123,0.4173900894525925
5.97061622231479,1.1077944442343703,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,4.881878830991813,-2.4964367891539707,6.26152409187619,0.17050626316219475,2.6565321359229834,-0.31563494223883853,1.8097836009605468,2.459048986348741,1.5425751229061186,0.8870647557787754,-0.08039076661526222,-0.7626756403829926,2.0195728825294386,0.8490595233656802
7.200659450546418,1.1077944442343703,CC1(c2cccc3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,-0.8683978112149894,-5.336920428372506,2.9746785103078803,-1.4954871363055895,1.0574347252151914,4.1908060426093074,1.2858432063173555,0.6767627502980993,-2.412360240725165,0.1705558590881056,-0.12557255217605712,-0.4774466143022055,-0.7073301333192931,-0.0022375109363367307
4.532465886150408,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)CNC1=O,0.1514293150002926,-7.627601450467266,3.4582790119974733,-0.8239092009194199,-1.2954778266136115,3.030871152963746,-0.14640456724771725,-1.9775546462646396,-2.841188979395849,0.6622454109058233,1.6800172404774076,-0.5976465099031186,-0.0785851583390972,-0.09325556947002503
5.655411257421286,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)C(CCc2ccccc2)NC(=O)CNC1=O,-1.030235401358669,-8.649295364296778,2.107948107330606,-1.3126486011294964,-0.5328671859210242,2.273796651041125,-0.07196288671644349,-1.330890329941962,-1.2711840130030152,0.5633718917933798,-0.044346353774277744,-0.4773885279697154,-0.34483036203263323,0.5737675248528086
7.853871964321762,1.1077944442343703,C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,3.3713355042438358,1.7395827790091885,-1.258094984699051,-2.215139492327037,1.4671543159486942,0.8791207509732296,-1.248908396281686,0.2534928005333986,-0.2690909797895755,-0.4465736230138213,1.1812287022555057,-1.2010159624210928,0.22205746260929426,-0.5704885770857782
4.968995718636463,1.1077944442343703,CN1CC(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,3.5653124713414592,-3.3552132557036907,-1.7965721913811221,-1.8719889647230652,-1.0700024475781105,-2.0278857996198494,-4.991799697843519,-0.9855008586652986,1.1124673280335529,0.9691459973322499,0.8248561086702317,-0.7204602330055526,-0.2995523924988071,-0.3384698096688266
7.170696227168975,1.1077944442343703,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,3.4140832621311485,-3.480367354425361,-1.4093154585502512,0.20569986432921059,-0.9826578347406045,-2.0856511204404637,-0.5981304039708816,-1.8754313148131458,0.44324403971735754,0.1772674268061863,0.028694987883430653,-0.039878709487038574,0.0604416722295153,0.5897634506973124
