SMILES,IC50
CC(C)(O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2,550.0
CC(C)[C@@H](O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2,550.0
C[C@H](O)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2,35500.0
C[C@@H](O)[C@H]1CC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@@]2(C)C(=O)N[C@@H](CSCc2cccc(CSCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](Cc3c[nH]c4ccc(F)cc34)C(=O)N[C@@H](Cc3c[nH]c4ccc(F)cc34)C(=O)N3CCC[C@H]3C(=O)N1)c2)C(N)=O,50.0
CC(C)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC1=O)[C@@H](C)O)C(N)=O)c2,6550.0
CO[C@@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,50.0
C[C@H]1NC(=O)[C@@H](NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2)C(C)(C)C(O)=O,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@@H](CCC(=O)NCCOc3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)NC(C)=O)[C@@H](C)O)cc1,>500
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4cc(F)ccc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)CCCCCNC(=O)c3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)[C@H](C)O)cc1,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cncc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,50.0
CO[C@H](C)[C@@H]1NC(=O)[C@@H]2C[C@@H](F)CN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSC[C@H](NC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(N)=O)c2,550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(O)cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,35500.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(Br)cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,35500.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(C)cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc(OC)c3)[C@@H](C)O)cc1,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(Cl)cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)c3)[C@@H](C)O)cc1,6550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)n3)[C@@H](C)O)cc1,50.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)NCc3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)NC(C)=O)[C@@H](C)O)cc1,50.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)NCCOc3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)NC(C)=O)[C@@H](C)O)cc1,50.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCc3cn(nn3)-c3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)NC(C)=O)[C@H](C)O)cc1,50.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)ccc3F)[C@@H](C)O)cc1,>500
CO[C@@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSCCNC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)c2,>500
CO[C@@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(CSCCNC(=O)[C@]3(C)CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)c2,>500
COc9ccc(C[C@@H]8NC(=O)[C@H]([C@H](C)OC)NC(=O)[C@@H]1C[C@H](F)CN1C(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc4c[nH]c5ccc(F)cc45)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc6cccc(c6)CSC[C@@H](C(N)=O)NC(=O)[C@]7(C)CCCN7C8=O)cc9,550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cc(CSC[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc(c3)C(F)(F)F)[C@@H](C)O)cc1,>500
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](CCCC#C)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](CCCCN=[N+]=[N-])NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(CSCCNC(=O)[C@]4(C)CCCN4C2=O)c3)[C@H](C)O)cc1,>500
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)CNC(=O)CCCCNCc3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)[C@@H](C)O)cc1,50.0
CCOP(=O)(OCC)C(F)(F)c1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCSCc3cccc(CSCCNC(=O)[C@]4(C)CCCN4C2=O)c3)[C@@H](C)O)cc1,550.0
COc1ccc(C[C@@H]2NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](F)CN3C(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@@H](C)NC(=O)[C@H](CCCCN)NC(=O)CCC\C=C/Cc3ccc(C[C@H](NC(=O)[C@]4(C)CCCN4C2=O)C(N)=O)cc3)[C@@H](C)O)cc1,35500.0
CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)NCCOCCOCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)[C@@H]1CSCc2cccc(CSCCC(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc3c[nH]c4ccc(F)cc34)C(=O)N[C@@H](Cc3c[nH]c4ccc(F)cc34)C(=O)[C@@H]3C[C@H](F)CN3C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N3CCC[C@@]3(C)C(=O)N1)c2)C(N)=O)C(O)=O,6550.0
CCC[C@H](NC(C)=O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N(C)[C@@H](Cc1ccc(F)cc1)C(=O)N[C@H]1CSCc2cccc(CSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC3C=NC=N3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O)C(N)=O)c2,35500.0
CCC[C@H](NC(C)=O)C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N(C)[C@@H](Cc1ccc(F)cc1)C(=O)N[C@H]1CSCc2cccc(CSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)[C@H](Cc3c[nH]c4ccc(F)cc34)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O)C(N)=O)c2,6550.0
