SMILES,IC50,IC50-min,IC50-max
CC(C)c1c(Cc2ccc(cc2)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2C)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(c(Cl)c2)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2)S(C)(=O)=O)c2cnc(C)cc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cc(C)nnc23)cc1,>300000,300000.0,600000.0
Cc1c(Cc2ccc(cc2)S(C)(=O)=O)c2nc(C)ncc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CN(C)S(=O)(=O)c1ccc(Cc2c(C)n(C\C(F)=C\CN)c3cnc(C)nc23)cc1,>300000,300000.0,600000.0
Cc1c(CCc2ccc(cc2)S(C)(=O)=O)c2nc(C)ccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CC(C)c1c(Cc2ccc(nc2)S(=O)(=O)C(C)C)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CC(C)c1c(C(O)c2ccc(nc2)S(C)(=O)=O)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
CCS(=O)(=O)c1ccc(Cc2c(C(C)C)n(C\C(F)=C\CN)c3cccnc23)cn1,>300000,300000.0,600000.0
CC(C)c1c(Cc2ccc(nc2)S(=O)(=O)C2CC2)c2ncccc2n1C\C(F)=C\CN,>300000,300000.0,600000.0
