average,sample_weight,SMILES,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27
42.9,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCOCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,-11.700157056444334,-5.90893368675107,-1.8925617570530253,-23.144467232293902,2.8396885321055616,8.849226181697578,-3.21782411972015,-6.704040491288474,11.006884239619156,-4.8264369315641655,0.8137257235805203,-9.481835805237576,-1.66304525707019,7.577205643698839,0.34740117643454554,-5.4373359286857195,2.727268226574953,5.885513037065496,3.070274514687649,-2.3994632106875935,-0.19146058818434483,-4.844619315852874,5.433899721998461,-2.1048676787870115,-2.7869269534325336,-3.428281075967981,3.5175268397183674
100.0,1.0,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-4.077667295260342,69.90955766194614,-4.919348492618583,-20.33455768239948,-22.201231094499875,-17.004047983548585,-13.226649922133964,4.682791208519573,0.3882542951626219,1.1417140002257948,1.5639968734482266,0.005377776572079642,-0.6164680993755606,-1.3921638514253183,0.6782883780114244,0.8515745818340402,-2.350756553090133,0.7529278961289153,-0.8253278759769309,0.9366126169676455,-1.0156590214683987,-1.2393923139874843,0.0922720183924878,1.0023263291514635,0.1578723822086184,-0.33272253622069164,0.37541828752790285
2.0,1.0,CCCc1c(OCCCCN2C(=O)NC(C)(c3ccc(OC)cc3)C2=O)ccc2c(C(F)(F)F)cc(=O)oc12,7.413933755148809,15.800551782921328,6.355686477130142,1.9259953986523635,28.412282534794446,-0.5284873588783542,10.84434606710795,31.952144570834598,14.469027554155822,-4.68372347339605,-0.1874939481648249,-0.40781546144247127,-4.880397930387012,0.5527775587317063,3.768731843577742,1.9958628450631115,-0.9385234200775868,-2.270500934033131,2.817149948173635,2.01045571010787,1.6507864814413444,-0.38722521023939227,2.41127238675041,1.869011271414628,0.937690034643427,-0.10528322318607229,-0.5955099464443654
26.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCCCCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,27.3199154880616,0.13989668492421967,27.311538231089983,4.086506184430577,11.711062084590038,-6.370931362929994,-2.77571226653378,0.5615610587589934,-2.7708978079504285,0.5506354315918073,3.9601602631442283,2.420495876617688,-0.7722274504802397,1.3009650647914124,-5.471742146232177,2.3204311284716876,3.80772740362564,0.051329760492253615,-16.577024810278264,-0.2791610532427039,-10.97392386930186,-7.302169165908206,-2.8407101363937057,-3.7145301110379974,0.20048115305461764,-3.7130205463016273,4.073769887764617
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,31.598974788579557,3.0837523077535955,-2.751533908498724,-1.401951590295848,-5.573045612792561,8.846844968521163,3.2632572580018264,3.8867723409767154,7.944200933615659,13.212158004562774,5.78615551639496,8.16732353535771,11.936406419003399,8.311756278172869,-1.8693007314757937,-2.542271520664783,-5.48265041957149,-3.691100486012491,-7.746597038304883,-3.4650276717171278,5.089729273589452,6.145474044696408,2.5969997246371697,-9.368783448822967,-4.223961739964107,3.779006260940669,-1.145311574535431
23.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1cccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c1,33.988273645904805,-2.483326800621765,4.215549742009786,-0.8610155908689496,-11.249568776396435,12.184057859734688,6.17786131883573,1.1214898772783266,4.688235452475959,11.08879935575407,3.2003416924549284,8.750720690762524,4.118829112216797,8.274937096082095,-6.8308156008350025,1.1097417167564543,-9.483039349054367,1.1649026468714851,5.995380788936559,-0.2834455447033033,-0.606693511393604,-5.097350944315395,-3.0050140073275537,11.530963200301201,0.9952979534008036,-6.579005178069027,1.0391450098252282
1.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,33.0196681208802,-2.4906070084494245,3.8124308594463865,0.4284540018333989,-14.079961222311287,13.631337354122355,4.662628968904015,3.931370415915628,-4.859470213015001,4.041806664353213,3.0851563989174275,8.335418273488978,-14.626800177216621,-3.833267505957746,3.457633363013954,-6.0811579460868135,3.6562338550946727,7.222696393925759,2.645013326338351,5.284270997859444,-2.115420449560801,0.30334861838437377,-4.775649520872924,-2.125519381602742,8.22929446563944,1.9267906269226065,-1.8723995012532564
53.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(C)c1,36.32278722041732,-5.964566023241836,-13.887646893995376,2.5052561750193494,-2.6347243648655905,-1.6496679371152019,4.637768464992304,-3.1390788400182834,-0.8170952182040697,5.566521454036744,10.083709698354374,-6.966453431647855,-6.514436016025782,3.1546890161045464,0.9488243471814339,10.654767097381779,-0.7780017284414135,-3.4985797039604725,-1.1514835351902215,1.7777084488211559,-3.04438071587674,-0.50583604244585,6.1027183998548535,-0.4710431541778919,3.162246516654612,12.709230727020335,0.5822058263013938
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C\CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,29.049419847652068,1.3863337475036135,30.732802489823126,2.4024868760047204,5.754922468295669,-5.354283333725441,-0.925655357963997,-6.328741840799063,-6.284678058919728,0.3676299681299862,0.9301272588731453,2.4057895319999507,-3.714542564315703,2.277606432127327,4.379469308274316,0.6257921943141131,1.426194751981013,2.942398073405403,-2.0281914966765076,-5.113524102958699,5.536606200992455,1.6523900884459142,-3.8969379548622873,4.576487646229408,-0.8287227431212749,0.8520135291531896,-2.455983157179705
40.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C/CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,27.87544619422868,6.28716343920241,32.553110776924015,-0.7318519217715526,0.18592885113734303,-3.398622030135219,0.2728352428981363,-6.298959934321718,-3.4056014716801117,-0.2075457008783784,-0.21018936953491257,-8.170404996159144,-7.624479911972899,4.165986306243617,3.1553266868262924,-0.9964342511581751,-0.378638969944391,1.966928278312313,2.01360525964828,-2.1276794429032284,12.529180595363906,5.012233067553694,1.066288883971963,-1.606992924841709,-2.641454269488693,-0.18121190521648828,-0.6406149374414876
