average,sample_weight,SMILES,WHIM_76,RDKit2D_fr_ketone,FP_AtomPair1024_521,FP_Morgan1024_r2_67,GETAWAY_193,FP_RDKit512_433,FP_RDKit512_387,FP_AtomPair1024_255,FP_Morgan1024_r2_123,FP_AtomPair1024_12,FP_TopoTorsion1024_704,RDKit2D_VSA_EState5,RDKit2D_PEOE_VSA11,GETAWAY_229,FP_AtomPair1024_402,FP_AtomPair1024_711,GETAWAY_18,FP_AtomPair1024_707,WHIM_43,FP_RDKit512_165,FP_MorganFeat1024_r2_246,Shape_Ratio_W_T,WHIM_21,FP_AtomPair1024_787,Graph_Centrality_Mean,MORSE_129,Pharm2D_Gobbi_169,RDKit2D_VSA_EState9,FP_AtomPair1024_90,FP_Morgan1024_r2_205,FP_Morgan1024_r2_751,WHIM_101,FP_Morgan1024_r2_399,FP_AtomPair1024_782,FP_AtomPair1024_553,FP_Morgan1024_r2_580,FP_RDKit512_362,FP_RDKit512_25,FP_AtomPair1024_9,AC3D_58,FP_MACCS_111,FP_Morgan1024_r2_673,FP_Morgan1024_r2_121,MORSE_65,FP_AtomPair1024_997,FP_Morgan1024_r2_310
25.1,1.0,CC1CCCN1C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.2655038759689923,0.0,0.0,0.0,-0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,-0.348074418153401,0.0,0.23529411764705882,0.0,0.0,-0.015267175572519097,0.0,-0.6239168110918546,0.0,0.0,1.1737263485173335,0.7734487734487739,0.0,-0.26051908168359267,-0.04129827826896196,0.0,0.0,0.0,0.0,0.0,1.1284046692607008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030927835051547,0.0,0.0,0.0,-0.22851365015166908,0.0,0.0
26.7,1.0,CCCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-0.0019379844961240327,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,-0.42450563736881697,0.0,1.0588235294117632,0.0,0.0,0.16793893129771006,0.0,0.5268630849220102,0.0,0.0,0.71964315580151,1.038961038961039,0.0,1.1168426818745434,-0.13692415076779815,0.0,0.0,0.0,0.0,0.0,0.4747081712062259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1826215022091313,0.0,0.0,1.0,-0.19020995658121734,0.0,1.0
42.9,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCOCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,0.0019379844961240327,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,-0.5620038435472441,0.0,0.0,0.0,0.0,0.16793893129771006,0.0,0.0,0.0,0.0,0.5259669508309288,-0.20202020202020193,0.0,-0.1893383025610531,0.6099348534201967,1.0,0.0,0.0,0.0,0.0,-0.08560311284046697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9425625920471286,0.0,0.0,0.0,0.8611193719145894,0.0,0.0
100.0,1.0,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.8585271317829456,0.0,-1.0,0.0,-0.14814814814814814,0.0,1.0,0.0,0.0,-1.0,0.0,0.019434596478323112,-1.0,-0.35294117647058826,1.0,0.0,3.293988661644146,0.0,0.4228769497400347,0.0,0.6336296830801329,0.30987191538034636,0.30014430014430016,0.0,-2.6115731198003114,-2.297929269427641,0.0,-2.8407014264735784,0.6336296830801329,0.0,0.0,0.8793774319066152,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,2.362695141592536,-1.0,0.0,0.0,-1.7166478320347354,0.0,0.0
2.0,1.0,CCCc1c(OCCCCN2C(=O)NC(C)(c3ccc(OC)cc3)C2=O)ccc2c(C(F)(F)F)cc(=O)oc12,-0.567829457364341,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.8976720068660502,-1.0,-0.11764705882352941,0.0,0.0,-0.16793893129770837,0.0,-0.7694974003466208,-1.3333333333333333,0.0,-0.8035043809622497,-0.7792207792207795,0.0,0.6135133980036866,-1.242787342950209,0.0,1.5383099,0.0,0.0,0.0,-1.0661478599221785,1.0,0.0,-1.0,0.6336296830801329,1.0,0.0,0.7801138893782952,-0.6892488954344622,0.0,0.0,1.0,-0.8987093320644746,0.9029980120819925,0.0
26.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCCCCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,-0.9205426356589147,0.0,0.0,0.0,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.5772780607941105,-1.0,-0.5882352941176471,0.0,0.0,-0.6870229007633577,0.0,-1.227036395147314,-1.3333333333333333,0.0,-1.1200947325459594,-1.171717171717172,0.0,-0.4816593987707492,-1.5855048859934857,0.0,0.0,0.0,0.0,0.0,-0.8638132295719839,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.7187039764359351,0.0,0.0,1.0,-1.0055314340093977,0.0,0.0
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,-0.3546511627906975,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.5664424783882607,-1.0,0.11764705882352941,1.0,0.0,0.015267175572519097,0.0,-0.6932409012131718,0.0,0.0,-0.197531434252904,-0.6810966810966812,1.0,0.022288896977258214,0.5261749651000471,0.0,0.0,0.0,0.0,0.0,-0.4435797665369643,0.0,-1.0,0.0,0.0,0.0,-1.0,0.7801138893782952,-0.3593519882179674,-1.0,0.0,0.0,1.4994349610420503,0.9029980120819925,1.0
23.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1cccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c1,-0.08333333333333319,0.0,0.0,0.0,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.6625032747360633,-1.0,0.23529411764705882,1.0,0.0,-0.19847328244274656,0.0,0.11091854419410717,-1.3333333333333333,0.0,-0.5855221213938882,-0.04040404040404045,1.0,-0.38682655572126734,-0.6508841321544898,0.0,0.0,0.0,0.0,0.0,0.568093385214008,1.0,0.0,0.0,0.0,0.0,-1.0,0.7801138893782952,-0.24742268041237075,0.0,0.0,1.0,-0.20067804674953957,0.9029980120819925,0.0
1.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)cc1,-0.6492248062015503,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.7775721382599845,-1.0,0.0,0.0,0.0,-0.8702290076335868,0.0,0.2079722703639513,-1.3333333333333333,0.0,-0.7640816747903785,0.005772005772005778,1.0,0.5945966632019494,-1.0880642159143785,0.0,0.0,0.0,0.0,0.0,0.27237354085603127,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5714285714285714,0.0,0.0,1.0,-0.780229584250283,0.0,1.0
53.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(C)c1,1.2538759689922483,0.0,0.0,0.0,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.8119084630973853,-1.0,-0.5882352941176471,0.0,0.0,1.1755725190839705,0.0,0.7902946273830156,-1.3333333333333333,0.0,0.23847682913296947,0.6060606060606064,1.0,-0.006891814545606839,0.7902512796649616,0.0,0.0,0.0,0.0,0.6336296830801329,1.1906614785992222,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.14727540500736327,0.0,0.0,1.0,1.3283768512460588,0.0,0.0
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C\CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,-0.8701550387596898,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.40885406325561413,-1.0,0.0,0.0,0.0,-0.900763358778625,0.0,-0.8596187175043328,-1.3333333333333333,0.0,-1.047106383535092,-0.8715728715728716,0.0,-0.4816593987707492,-1.5543275942298747,0.0,0.0,0.0,0.0,0.0,-0.5058365758754857,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.6892488954344622,-1.0,0.0,0.0,-1.0190923690001792,0.0,0.0
40.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C/CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,1.234496124031008,0.0,0.0,0.0,-0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.40885406325561413,-1.0,-0.7058823529411765,0.0,0.0,0.7786259541984739,0.0,0.34662045060658575,-1.3333333333333333,0.0,0.32726151814027765,0.21356421356421382,0.0,-0.4816593987707492,-2.1974174034434624,0.0,0.0,0.0,0.0,0.0,0.2101167315175098,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.7363770250368187,-1.0,0.0,0.0,-1.980253375364302,0.0,0.0
27.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCC#CCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,-0.49806201550387585,0.0,0.0,0.0,-0.8888888888888878,0.0,0.0,0.0,1.0,0.0,0.0,4.267540681503366,-1.0,-0.9411764705882345,0.0,0.0,0.045801526717557293,0.0,-0.45060658578856155,-1.3333333333333333,0.0,-1.4519238307636093,-0.48484848484848475,0.0,-0.4816593987707492,-0.8232899022801295,0.0,0.0,0.0,0.0,0.0,-0.5369649805447464,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-0.5596465390279823,-1.0,0.0,0.0,-0.39219651460179666,0.0,0.0
53.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1cccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c1,-0.699612403100775,0.0,-1.0,0.0,-0.8888888888888878,0.0,0.0,0.0,0.0,0.0,1.0,0.39242297990799085,-1.0,-0.9411764705882345,0.0,0.0,0.3816793893129774,0.0,-0.5823223570190643,0.0,0.0,-0.061067263441915376,-0.6060606060606061,0.0,-0.9751090743062896,-0.5394369474174029,0.0,0.0,0.6336296830801329,0.0,0.0,-0.7704280155642018,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.13549337260677416,-1.0,0.0,0.0,-0.01582109082257808,0.0,0.0
