average,sample_weight,SMILES,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C\CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,5.2757053851924915,0.40446360553657607,-1.132612380967922,-4.257247878417608,-0.9201406849557419,1.5302886961712812,0.91201853649121,-0.45638138913701753,0.9027150057064602,-0.5326477159796116,1.0129966984252705,-0.2627518201733606,-0.7863126348371561,-0.7750046651519952,0.8956516554961986,-0.5636253456615875,-2.5110792513612505,0.8117775715315853,-0.9289572775679737,0.3094742765533542,0.3223261108101692,0.3354257490636385,0.9683991356410426,-0.00684819985905078,0.9467935932083332,0.3043361156959683
40.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OC/C=C/CN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,3.618014851352124,4.541625366444895,-2.1773193612495256,-3.4862646605108005,-4.157381815306981,-0.9675134379872958,2.216052315028503,0.8520788820184234,1.0976678435972593,-2.6676981657976295,-0.25733971568449177,-1.5745032207473508,0.27549154250065677,-0.44548335395729416,-0.33721654125767864,-0.3390274447029191,-1.2645687525755165,-0.7046243761732145,-0.5686103227392211,0.35591799196449964,-0.04178530816101619,0.25954456899503725,0.3980284611254196,-0.38783760632730946,-0.2052173677645663,-1.6606139003489113
27.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCC#CCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,5.097989000271495,0.31246546469588077,-2.4622580985166884,-5.295218879230104,1.0992871832629318,1.4827357958740002,0.13816689523972206,0.01116134519127876,3.134166848225114,0.9439172316508252,0.15160469526697207,-0.5893351198889177,-0.29621870269252554,-0.3080876552788255,-0.01797331047111347,0.6497806203359547,1.429285996163256,-1.5933695245178547,1.1534494404775528,-0.5568296146642756,0.17240304219819685,-0.691966146214773,-2.101757325980942,-0.1213398974720715,0.6927863512737082,0.27599649137086785
53.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1cccc(CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c1,3.9392247621672474,4.293348443927145,-2.8234708983216024,1.1715177210975531,-4.251601378929285,-0.34286764649034673,-0.32831763968817895,1.146022041395191,-0.8738496157352159,-1.3913312071226063,0.5971163099855191,-0.08636673804708048,-1.1840779415439397,1.6347802544510874,1.8617231524053104,2.0670270771426185,1.562633675625116,2.2580320570641357,-0.4221769890591501,-0.022910564281924266,-0.07070771131088127,-0.9238035321419199,-0.5834446769259879,-0.016609902022388663,-0.06793561275547023,0.7243384671226955
71.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(C)c1,5.944755454435771,-1.9022375993360006,-0.13091099993419855,2.5283605214205442,1.1381205738751947,0.7906897702704124,0.9341589530035552,0.10417685822555146,2.58666772211361,-0.7034044276264761,0.8351323786143462,-0.42061585187196965,-0.2126434179668707,1.1757189495243023,-1.4531273000416491,1.6700210413179088,0.24492347762722141,0.41545508785353596,-1.1346973747167641,1.029955977432248,-1.4242590651762324,0.0015465062909415862,0.778089861314293,-0.28567011429471667,0.066804882680035,0.6166283817560487
38.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(OC)c1,7.2343822620137646,-2.168839207887397,0.7021987906537708,3.103688140612972,0.6175726589708129,0.9457659594950804,0.9520914395413431,0.5395469909359948,-0.1487896247684891,-1.7502997882072435,-0.7168202338337678,0.09095699469438674,-0.414309663942186,0.6774319713130532,0.0005361609269440013,-0.0264259635228386,0.4981829107772286,-0.34628789659512504,1.6123092702121657,0.8918835861359726,-0.08325038850886551,1.138355822617103,0.3148490211655292,-0.2674121263700386,-0.06584669394175861,-0.16564472028156843
55.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,6.679013325177615,-2.833206548394922,0.5949089051096461,2.810767397088958,1.1966592025121434,0.733726081350504,0.6207694700019589,-0.007796604485675999,1.1197612761913367,-1.6863435093224728,-0.3913962424250416,1.3291987676062058,0.39188620091666576,-0.46016645829884234,0.026513619587197,-0.8973381088859962,0.42072769075468686,0.5185266318329909,-0.5973253776745026,-0.1381989202784523,-0.14700331255765756,-0.22408194118693478,0.1569260816475428,0.23378607580280555,-0.1372051172982907,-0.206738043732476
68.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cn3)C2=O)c(O)c1,6.378954388230056,-2.028846244945253,1.5993012932830792,2.5193451336171675,0.7801370214567386,1.3275395832278574,1.0714213772418,0.25655866811413075,1.2711564812882081,-2.3343192709271086,-0.3480586339424845,2.344570730582007,0.7276546407977855,0.6475428225879201,-0.07663761754076115,-1.1849367798789683,-0.6030279064292934,-0.35018338593414555,-0.41256851198337646,-1.3318411742666316,0.8758722148083131,-0.4533458705878914,-1.6646937933828656,0.638629516494517,-0.3883112363754755,-0.11499306181594675
0.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(OC)c1,7.170851639509409,-1.2486034613245913,-0.14558121235998175,1.3534221838214768,-0.007647524538136924,0.6177098127606283,-0.36732695099253604,0.2607523952892138,-1.1660120830415366,0.9144288776279675,-1.31518369386389,-1.6150109769929109,1.2814048561871163,1.4358012623926057,1.758418665715827,0.34673843439238766,-0.40892868127666687,-1.313906521215396,2.363676456892471,1.3697016362035261,0.29064210193041723,0.7655728915082167,0.4409602822131346,-0.2421200069110937,-0.18414922580838933,0.013130356151676842
1.0,1.0,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1Oc1ccc(CCN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)c(O)c1,6.494442162139701,-0.7440465344971622,-0.19457992415822456,1.5707096485032006,0.5043437234208551,-0.23436083333934832,-0.9347119224781636,-0.3609489932601066,-0.7799407694626791,0.9450343143635984,-0.3145378920159922,-0.6735145289275446,1.8774967237653777,-0.07038821683105681,2.9177500771991034,-1.1028054996862369,-1.5407172696557316,0.1519526264078379,-0.5746687989926245,-0.15382444275168117,0.19739495759495093,-1.1959137198538639,-0.19557495993032792,-0.03913553169192222,0.16716664380486687,0.6958369262717006
