SMILES,Emax,Unit,Unit_Source,Emax-min,Emax-max
C1CN(CCC1CCOC2=C(C=CC(=C2)CC(=O)O)Cl)C3=NC4=C(S3)C=C(C=C4)Cl,17.0,%,original,17.0,17.0
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,6.8,%,original,6.8,6.8
C1CC(=O)N(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,1.5,%,original,1.5,1.5
CC(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,2.9,%,original,2.9,2.9
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,3.5,%,original,3.5,3.5
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,4.8,%,original,4.8,4.8
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,2.5,%,original,2.5,2.5
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,6.3,%,original,6.3,6.3
C1CCC(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,3.1,%,original,3.1,3.1
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,2.2,%,original,2.2,2.2
CCC(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,2.2,%,original,2.2,2.2
CC(C)CC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,4.3,%,original,4.3,4.3
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,2.2,%,original,2.2,2.2
CCCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,4.7,%,original,4.7,4.7
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,1.8,%,original,1.8,1.8
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,2.8,%,original,2.8,2.8
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,1.3,%,original,1.3,1.3
CCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,4.2,%,original,4.2,4.2
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,3.1,%,original,3.1,3.1
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,5.4,%,original,5.4,5.4
CCCCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,5.2,%,original,5.2,5.2
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,4.2,%,original,4.2,4.2
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,100.0,%,original,100.0,100.0
CCCC1=C(C=CC2=C1OC(=O)C=C2C(F)(F)F)OCCCCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC,2.0,%,original,2.0,2.0
CCCC1=CC(=CC(=C1OCCCCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,26.0,%,original,26.0,26.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,0.0,%,original,0.0,0.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,23.0,%,original,23.0,23.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,1.0,%,original,1.0,1.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,53.0,%,original,53.0,53.0
CCCC1=CC(=CC(=C1OC/C=C\CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,0.0,%,original,0.0,0.0
CCCC1=CC(=CC(=C1OC/C=C/CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,40.0,%,original,40.0,40.0
CCCC1=CC(=CC(=C1OCC#CCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,27.0,%,original,27.0,27.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,53.0,%,original,53.0,53.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,71.0,%,original,71.0,71.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,38.0,%,original,38.0,38.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,55.0,%,original,55.0,55.0
