SMILES,Unit,Qualifier,Unit_Source
CCCCC(C(=O)N[C@H]1CSCC2=CC(=CC=C2)CSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)C(C)(C)C)CC3=CC=C(C=C3)O)CC4=CN=CN4)[C@@H](C)O)CC5=CNC6=C5C=CC=N6)CCC)CCC(=O)O)CC7=CC=C(C=C7)O)CCC)[C@@H](C)O)C(=O)N)NC(=O)C,nM,=,original
CC(=O)N[C@H]1CSCC2=CC(=CC=C2)CSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC1=O)CCCCN)CC4=CNC5=CC=CC=C54)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O)C(=O)N,nM,=,original
C[C@@]12CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSCC3=CC(=CC=C3)CSC[C@H](NC2=O)C(=O)N)CCCN)CC4=CNC5=C4C=C(C=C5)F)CC6=CNC7=C6C=C(C=C7)F)CC(=O)O)CC8=CN=CN8)CC9=CC=C(C=C9)O,nM,=,original
C1C[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CC=C(C=C8)C9=CC=CC=C9)CCCCN)C(=O)N,nM,=,original
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCC[N+](C)(C)C)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,ambiguous,,ambiguous
C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,nM,>,original
C1C[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2C1)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F)CCCCN)C(=O)N,nM,=,original
C[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@]2(C(=O)NCCSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C(=O)N1)CCCCCC(=O)O)C)CC4=CC=C(C=C4)OC)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,ambiguous,,ambiguous
CN1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CSCC3=CC=CC(=C3)CSCCC(=O)N[C@H](C1=O)CCCCN)C(=O)N)CC4=CC=C(C=C4)O)CC5=CN=CN5)CC(=O)O)CC6=CNC7=C6C=C(C=C7)F)CC8=CNC9=C8C=C(C=C9)F,nM,=,original
CN1CC(=O)N[C@@H](CSCC2=CC=CC(=C2)CSCCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C1=O)CC3=CC=C(C=C3)O)CC4=CN=CN4)CC(=O)O)CC5=CNC6=C5C=C(C=C6)F)CC7=CNC8=C7C=C(C=C8)F)CCCCN)C(=O)N,nM,=,original
