action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,source_organism,source_target_chembl_id,source_pref_name
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774200,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]1Cc1ccc(O)cc1,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.86', 'le': None, 'lle': None, 'sei': None}",CHEMBL4755203,,CHEMBL4755203,6.95,0,http://www.openphacts.org/units/Nanomolar,3536030,=,1,1,=,,Ki,nM,,112.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,112.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774202,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.97', 'le': None, 'lle': None, 'sei': None}",CHEMBL4740764,,CHEMBL4740764,7.33,0,http://www.openphacts.org/units/Nanomolar,3536032,=,1,1,=,,Ki,nM,,47.1,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,47.1,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774203,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.80', 'le': None, 'lle': None, 'sei': None}",CHEMBL4759487,,CHEMBL4759487,6.99,0,http://www.openphacts.org/units/Nanomolar,3536033,=,1,1,=,,Ki,nM,,103.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,103.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774204,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CC(=O)N[C@H]1CSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC(=O)[C@H](CCCCN)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.10', 'le': None, 'lle': None, 'sei': None}",CHEMBL4793541,,CHEMBL4793541,5.97,0,http://www.openphacts.org/units/Nanomolar,3536034,=,1,1,=,,Ki,nM,,1070.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,1070.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774205,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CC1(c2cccc3ccccc23)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '5.11', 'le': None, 'lle': None, 'sei': None}",CHEMBL4778144,,CHEMBL4778144,7.20,0,http://www.openphacts.org/units/Nanomolar,3536035,=,1,1,=,,Ki,nM,,63.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,63.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774206,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '3.16', 'le': None, 'lle': None, 'sei': None}",CHEMBL4758778,,CHEMBL4758778,4.53,0,http://www.openphacts.org/units/Nanomolar,3536036,=,1,1,=,,Ki,nM,,29345.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,29345.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774207,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)C(CCc2ccccc2)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '4.12', 'le': None, 'lle': None, 'sei': None}",CHEMBL4784261,,CHEMBL4784261,5.66,0,http://www.openphacts.org/units/Nanomolar,3536037,=,1,1,=,,Ki,nM,,2211.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,2211.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774208,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,C[C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)[C@H](Cc1c[nH]c3ccc(F)cc13)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CCSCc1cccc(c1)CSC[C@@H](C(N)=O)NC2=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '5.49', 'le': None, 'lle': None, 'sei': None}",CHEMBL4789480,,CHEMBL4789480,7.85,0,http://www.openphacts.org/units/Nanomolar,3536038,=,1,1,=,,Ki,nM,,14.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,14.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774209,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,CN1CC(=O)N[C@H](C(N)=O)CSCc2cccc(c2)CSCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '3.57', 'le': None, 'lle': None, 'sei': None}",CHEMBL4778688,,CHEMBL4778688,4.97,0,http://www.openphacts.org/units/Nanomolar,3536039,=,1,1,=,,Ki,nM,,10740.0,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,10740.0,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22774210,[],CHEMBL4705210,Inhibition of avi-tagged-biotinylated human PCSK9 interaction with His-tagged human LDLR EGFa domain by LANCE Ulight Streptavidin based TR-FRET assay,B,,,BAO_0000192,BAO_0000224,protein format,NCCCC[C@@H]1NC(=O)CCSCc2cccc(c2)CSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)[C@H](Cc2c[nH]c3ccc(F)cc23)NC(=O)CNC1=O,,,CHEMBL4699634,J Med Chem,2020,"{'bei': '5.11', 'le': None, 'lle': None, 'sei': None}",CHEMBL4799959,,CHEMBL4799959,7.17,0,http://www.openphacts.org/units/Nanomolar,3536040,=,1,1,=,,Ki,nM,,67.5,CHEMBL4523996,Homo sapiens,PCSK9/LDLR,9606,,,Ki,nM,UO_0000065,,67.5,Homo sapiens,CHEMBL4523996,PCSK9/LDLR
