Top Features Contributing to 20% of Performance
================================================================================
Model: MLP_Large
Family: nn
Endpoint: pEC50
Species: mus_musculus
Total Features: 2647
Top Features Count: 190
Cumulative Importance: 0.1994
================================================================================

                  feature  importance  importance_normalized  cumulative
                 AC2D_133    0.003908               0.000865    0.189950
              GETAWAY_208    0.003903               0.000864    0.190814
         Pharm2D_Gobbi_61    0.003899               0.000863    0.191677
      FP_AtomPair1024_156    0.003894               0.000862    0.192540
               GETAWAY_72    0.003889               0.000861    0.193401
          FP_RDKit512_108    0.003876               0.000858    0.194259
      FP_AtomPair1024_790    0.003866               0.000856    0.195115
       RDKit2D_PEOE_VSA13    0.003859               0.000854    0.195969
              GETAWAY_242    0.003851               0.000853    0.196822
            RDKit2D_Chi2n    0.003850               0.000853    0.197675
      FP_AtomPair1024_262    0.003850               0.000852    0.198527
        Pharm2D_Gobbi_152    0.003849               0.000852    0.199379
