SMILES,EC50,EC50-min,EC50-max
Fc1ccccc1Cn1nc2c(C(F)(F)F)cccc2c1-c1ccc(Cl)cc1,7440,7440.0,7440.0
FC(F)(F)c1ccccc1Cn1nc2c(C(F)(F)F)cccc2c1-c1ccc(Cl)cc1,15460,15460.0,15460.0
CS(=O)(=O)c1cc(Cl)cc(Oc2cccc(-c3c(C(N)=O)cnc4c(C(F)(F)F)cccc34)c2)c1,10900,10900.0,10900.0
Cc1nc2c(C(F)(F)F)cccc2nc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,1700,1700.0,1700.0
CCc1nc2c(C(F)(F)F)cccc2nc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,350,350.0,350.0
Cc1nc2c(Cl)cccc2nc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,380,380.0,380.0
CNS(=O)(=O)c1cccc(-c2ccc(-c3nc4cccc(C(F)(F)F)c4nc3C)cc2)c1,1470,1470.0,1470.0
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,9.5,9.5,9.5
O=C(O)Cc1ccc(Cl)c(OCCC2CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,19,19.0,19.0
O=C(O)Cc1ccc(Cl)c(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,22,22.0,22.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3=O)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,150,150.0,150.0
CC(C)C1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,7.5,7.5,7.5
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,9.3,9.3,9.3
Cc1ccc(CC(=O)O)cc1OCCC1(N2CCCC2)CCN(c2nc3ccc(Cl)cc3s2)CC1,6.2,6.2,6.2
CN(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,30,30.0,30.0
Cc1cc(CC(=O)O)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,9.1,9.1,9.1
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,7.1,7.1,7.1
O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,11,11.0,11.0
CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,4.5,4.5,4.5
CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,5.9,5.9,5.9
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,15,15.0,15.0
CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,9.2,9.2,9.2
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,10,10.0,10.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,22,22.0,22.0
O=C(O)Cc1ccc(Cl)c(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,20,20.0,20.0
CCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,13,13.0,13.0
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,3.6,3.6,3.6
CC1CCCN1C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,9.7,9.7,9.7
CCCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,8.4,8.4,8.4
O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCOCC3)CCN(c3nc4ccc(C(F)(F)F)cc4s3)CC2)c1,22,22.0,22.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21,15,15.0,15.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccc(F)cc21,45,45.0,45.0
CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,1579,1579.0,1579.0
CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCN(C)CC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,368,368.0,368.0
CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCCCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,534,534.0,534.0
CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,340,340.0,340.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(CN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,23,23.0,23.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(CN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1cc(F)ccc21,447,447.0,447.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(CCN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,602,602.0,602.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(CCN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1cc(F)ccc21,342,342.0,342.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCCN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,101,101.0,101.0
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCN3CCCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,1066,1066.0,1066.0
