SMILES,pEC50,pEC50-min,pEC50-max
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,7.70,7.698970004336019,7.698970004336019
CCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,7.89,7.886056647693163,7.886056647693163
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,8.44,8.443697499232712,8.443697499232712
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,8.01,8.013228265733755,8.013228265733755
CCCCC1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=C(C=CC(=C4)CC(=O)O)Cl,8.08,8.075720713938118,8.075720713938118
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,7.66,7.657577319177793,7.657577319177793
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,7.82,7.823908740944319,7.823908740944319
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=C(C=C3)F)(C)C)C(=O)C4=CC(=C(C=C4)F)F,7.35,7.346787486224656,7.346787486224656
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=CC(=C4)CN5CCOCC5,5.80,5.801617869991706,5.801617869991706
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=CC(=C4)CN5CCN(CC5)C,6.43,6.434152181326482,6.434152181326482
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=CC(=C4)CN5CCCCC5,6.27,6.272458742971444,6.272458742971444
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=CC(=C4)CN5CCCC5,6.47,6.468521082957745,6.468521082957745
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)CN5CCOCC5,7.64,7.638272163982407,7.638272163982407
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)CN5CCOCC5,6.35,6.349692476868063,6.349692476868063
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)CCN5CCOCC5,6.22,6.220403508742176,6.220403508742176
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)CCN5CCOCC5,6.47,6.465973893943865,6.465973893943865
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCOCC5,7.00,6.995678626217357,6.995678626217357
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCCCC5,5.97,5.972242795309446,5.972242795309446
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCN(C)C,6.36,6.357535479757878,6.357535479757878
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCCC5,6.16,6.156144577376839,6.156144577376839
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCOCC5,6.60,6.603800652904264,6.603800652904264
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCN(CC5)C,6.54,6.542118103266008,6.542118103266008
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN(C)C,6.57,6.567030709125595,6.567030709125595
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCCC5,6.44,6.441291429466834,6.441291429466834
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCCCC5,6.37,6.372634143407268,6.372634143407268
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCN(CC5)C,6.71,6.7121982700697735,6.7121982700697735
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCN(C)C,5.86,5.858236769724212,5.858236769724212
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCN5CCCC5,5.88,5.880414225038216,5.880414225038216
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCN5CCCCC5,6.05,6.048662481204082,6.048662481204082
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCN5CCOCC5,6.07,6.068033885271827,6.068033885271827
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCN5CCN(CC5)C,5.54,5.542118103266008,5.542118103266008
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN(C)C,6.21,6.209714835966759,6.209714835966759
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCCC5,5.80,5.795066477645856,5.795066477645856
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCCCC5,5.95,5.9503943874050265,5.9503943874050265
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCOCC5,6.10,6.099086932262331,6.099086932262331
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=CC=C4)OCCCN5CCN(CC5)C,5.99,5.99012436628784,5.99012436628784
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCCN5CCOCC5,7.06,7.055517327849831,7.055517327849831
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=C2C=CC(=C3)F)(C)C)C(=O)C4=CC=C(C=C4)OCCN5CCOCC5,7.00,7.00436480540245,7.00436480540245
CN1[C@H]2CC[C@@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,5.69,5.692503962086787,5.692503962086787
CN1[C@H]2CC[C@@H](O[C@@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,<4.60,4.301029995663981,4.6020599913279625
CN1[C@H]2CC[C@H](O[C@H]2COC3=C(C1=O)C=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)NC5CC6=CC=CC=C6C5,6.64,6.638272163982407,6.638272163982407
CCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,6.22,6.221848749616356,6.221848749616356
CC(C)OC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,6.30,6.301029995663981,6.301029995663981
CCCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,6.30,6.301029995663981,6.301029995663981
CCCCOC(=O)C1=CN(CCC2=C1NC3=CC=CC=C23)C(=O)C4=CC=C(C=C4)F,5.96,5.958607314841775,5.958607314841775
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)F,7.24,7.244125144327507,7.244125144327507
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)Cl,7.14,7.136677139879544,7.136677139879544
CCOC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)C)C(=O)C4=CC=C(C=C4)OC,7.22,7.221848749616356,7.221848749616356
