SMILES,Tautomer_Score,Pharm2D_Gobbi_296,FP_Morgan1024_r2_233,FP_RDKit512_307,RDKit2D_fr_ether,FP_RDKit512_6,FP_Morgan1024_r2_210,FP_Morgan1024_r2_13,FP_RDKit512_102,FP_Morgan1024_r2_698,FP_RDKit512_106,RDKit2D_fr_benzene,Pharm2D_Gobbi_75,RDKit2D_fr_methoxy,FP_MACCS_136,FP_RDKit512_253,FP_TopoTorsion1024_761,FP_MACCS_76,FP_RDKit512_327,Pharm2D_Gobbi_76,FP_RDKit512_396,FP_Morgan1024_r2_525,FP_MorganFeat1024_r2_648,FP_RDKit512_101,AC2D_163,AC2D_115,FP_TopoTorsion1024_730,RDKit2D_BCUT2D_MRLOW,AC2D_98,FP_RDKit512_263,FP_AtomPair1024_865,RDKit2D_SlogP_VSA8,FP_TopoTorsion1024_868,FP_Morgan1024_r2_367,FP_RDKit512_183,FP_MACCS_116,RDKit2D_fr_allylic_oxid,AC2D_114,FP_Morgan1024_r2_897,FP_MACCS_99,Pharm2D_Gobbi_68,RDKit2D_MinAbsPartialCharge,AC2D_122,FP_RDKit512_478,FP_TopoTorsion1024_372,FP_TopoTorsion1024_376,RDKit2D_SPS,FP_RDKit512_60,FP_AtomPair1024_898,FP_AtomPair1024_697,FP_AtomPair1024_696,FP_MorganFeat1024_r2_646,FP_MorganFeat1024_r2_277,FP_RDKit512_184,FP_AtomPair1024_632,FP_RDKit512_109,FP_Morgan1024_r2_575,FP_Morgan1024_r2_681,Pharm2D_Gobbi_213,FP_RDKit512_97,FP_RDKit512_108,FP_RDKit512_16,AC2D_189,FP_AtomPair1024_720,FP_TopoTorsion1024_688,FP_RDKit512_180,RDKit2D_NumAromaticRings,FP_RDKit512_130,FP_TopoTorsion1024_413,FP_RDKit512_175,FP_AtomPair1024_250,FP_AtomPair1024_372,FP_AtomPair1024_381,FP_RDKit512_443,FP_TopoTorsion1024_500,RDKit2D_BCUT2D_MRHI,FP_AtomPair1024_113,RDKit2D_RingCount,FP_Morgan1024_r2_844,FP_RDKit512_260,FP_TopoTorsion1024_412,FP_MACCS_57,RDKit2D_SlogP_VSA11,FP_RDKit512_300,FP_AtomPair1024_33,FP_RDKit512_316,FP_AtomPair1024_373,FP_RDKit512_390,FP_TopoTorsion1024_869,FP_AtomPair1024_9,FP_RDKit512_99,FP_AtomPair1024_716,FP_MACCS_72,average,sample_weight
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)C(C)C,1417.0,8.2218485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.311,-0.308,0.0,-0.13867933,0.036,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,1.0,0.30293566,0.097,0.0,0.0,1.0,17.13812,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.997,1.0,1.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0406938,1.0,8.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.221848749616356,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1290.0,5.0655017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.173,-0.227,0.0,-0.13987811,0.035,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.30293566,0.104,0.0,0.0,1.0,15.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.011685,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.065501548756432,1.0345132990659367
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,1324.0,6.372634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.23,-0.258,0.0,-0.1416104,0.025,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,1.0,0.30548108,0.089,0.0,0.0,1.0,14.920904,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.945,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6.040005,1.0,6.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.372634143407268,1.0345132990659367
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCSC)C(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,711.0,6.154902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.317,-0.328,0.0,-0.14242764,0.006,0.0,1.0,10.902925,0.0,0.0,0.0,1.0,0.0,0.042,0.0,0.0,1.0,0.3256967,0.12,0.0,0.0,1.0,15.529851,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.971,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.9810677,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.154901959985743,1.0345132990659367
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,1343.0,9.522879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.213,-0.207,0.0,-0.14547,0.112,0.0,1.0,22.253805,1.0,0.0,0.0,0.0,0.0,0.081,0.0,0.0,1.0,0.30548108,0.102,0.0,0.0,1.0,24.17742,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.932,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.9954257,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,9.522878745280336,1.0345132990659367
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)O,1762.0,7.823909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.213,-0.27,0.0,-0.14400251,0.003,0.0,1.0,21.80585,1.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,1.0,0.32570624,0.067,0.0,0.0,1.0,15.711111,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.902,1.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.804083,1.0,10.0,0.0,0.0,1.0,0.0,17.248535,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.823908740944319,1.0345132990659367
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)[C@@H](C)O)C(C)C)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O,1739.0,8.259637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.231,-0.269,0.0,-0.14427769,0.016,0.0,1.0,32.708775,1.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,1.0,0.32655862,0.092,0.0,0.0,1.0,16.054623,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.891,1.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.800462,1.0,10.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.259637310505756,1.0345132990659367
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,1335.0,8.21467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.275,-0.257,0.0,-0.14481358,0.112,0.0,1.0,22.253805,1.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,1.0,0.30293566,0.098,0.0,0.0,1.0,25.466103,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.945,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.9954195,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.214670164989233,1.0345132990659367
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1(N)CCC(c2ccccc2)CC1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,678.0,6.4089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.349,-0.329,0.0,-0.14233227,0.069,0.0,1.0,10.902925,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,1.0,0.3256967,0.127,0.0,1.0,1.0,17.04717,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.096,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.9996953,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.4089353929735005,1.0345132990659367
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,880.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.25,-0.306,0.0,-0.14373511,-0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.019,0.0,0.0,1.0,0.32571238,0.035,0.0,0.0,1.0,15.189369,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.87,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.8077745,1.0,4.0,0.0,0.0,1.0,0.0,5.7495117,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0345132990659367
CN(C)c1ccc2[nH]c3c(C(=O)O)cc(=O)c(=O)c=3oc2c1,265.0,6.3279023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.993,-0.002,0.0,0.06945975,-0.036,0.0,1.0,11.099721,1.0,0.0,0.0,0.0,0.0,-0.034,0.0,1.0,1.0,0.33760548,-0.064,0.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.092,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.8756895,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.327902142064282,1.0345132990659367
O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1,1517.0,7.576754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.219,-0.359,0.0,0.10141945,-0.121,0.0,1.0,21.544897,1.0,0.0,0.0,0.0,0.0,-0.172,0.0,0.0,1.0,0.32136437,-0.029,0.0,0.0,1.0,12.69697,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.218,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.8756595,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.576754126063192,1.0345132990659367
O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)ccc2F)c1,2027.0,8.809669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.182,-0.34,0.0,0.10115092,-0.117,1.0,1.0,21.544897,1.0,0.0,0.0,0.0,0.0,-0.174,0.0,0.0,1.0,0.32136437,-0.041,0.0,0.0,1.0,12.27907,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.137,1.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.875799,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.809668301829708,1.0345132990659367
O=C(Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c1)Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c1,1527.0,8.3316145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.21,-0.315,0.0,0.10069963,-0.111,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.261,0.0,0.0,1.0,0.3207009,-0.118,0.0,0.0,1.0,12.571428,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.901,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.879105,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.33161408331,1.0345132990659367
O=C(Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)c1)Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)c1,1527.0,8.162412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.289,-0.381,0.0,0.1007316,-0.093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.261,0.0,0.0,1.0,0.32199588,-0.118,0.0,0.0,0.0,11.705882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.791,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.861901,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,8.162411561764488,1.0345132990659367
O=C(Nc1cccc(C(=O)Nc2cc(S(=O)(=O)O)cc3ccc(S(=O)(=O)O)cc23)c1)Nc1cccc(C(=O)Nc2cc(S(=O)(=O)O)cc3ccc(S(=O)(=O)O)cc23)c1,1517.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.127,-0.302,0.0,0.10141878,-0.065,0.0,0.0,21.544897,1.0,0.0,0.0,0.0,0.0,-0.182,0.0,0.0,1.0,0.32136574,-0.073,0.0,0.0,1.0,12.206897,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.928,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.86232,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.849485002168009,0.2579640700823647
O=C(Nc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)cc2)cc1)Nc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)cc2)cc1,2027.0,9.070581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.237,-0.359,0.0,0.10129817,-0.114,0.0,1.0,21.544897,1.0,0.0,0.0,0.0,0.0,-0.191,0.0,0.0,1.0,0.32199797,-0.053,0.0,0.0,1.0,12.261905,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.13,1.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.8757896,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,9.070581074285707,1.0345132990659367
