SMILES,Unit,Qualifier,Unit_Source
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC7=CNC8=CC=CC=C87)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)CN,nM,=,original
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC7=CC=C(C=C7)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)O)N,nM,=,original
CCNC(=O)[C@@H]1CSCC(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)C)CCC(=O)O)C)C)CC4=CC=C(C=C4)C5=CC=CC=C5)C)C)CC6=CC=C(C=C6)C7=CC=CC=C7)[C@@H](C)O)[C@@H](C)O)C(C)C)CC8=CC=CC=C8,nM,=,original
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@H](CCCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)NC(=O)C3(CCC(CC3)C4=CC=CC=C4)N,nM,=,original
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC4=CNC=N4)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)CN,nM,=,original
CN(C)C1=CC2=C(C=C1)NC3=C(O2)C(=O)C(=O)C=C3C(=O)O,nM,=,original
C1=CC(=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(=O)NC3=C4C(=CC(=CC4=C(C=C3)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC5=C6C(=CC(=CC6=C(C=C5)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,nM,=,original
C1=CC(=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(=O)NC3=C(C=CC(=C3)C(=O)NC4=C5C(=CC(=CC5=C(C=C4)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)F)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)F,nM,=,original
C1=CC(=C(C=C1S(=O)(=O)O)S(=O)(=O)O)NC(=O)C2=CC(=CC(=C2)NC(=O)NC3=CC(=CC(=C3)C(=O)NC4=C(C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC5=C(C=C(C=C5)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC6=C(C=C(C=C6)S(=O)(=O)O)S(=O)(=O)O,nM,=,original
CC1=CCC(=CC1=NC(=O)C2=CC=C/C(=N\C(=O)/N=C\3/CC(=CC=C3)C(=O)N=C4CC(=CC=C4C)C(=O)N=C5CC=C(C6=C5C(=CC(=C6)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)/C2)C(=O)N=C7CC=C(C8=C7C(=CC(=C8)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,nM,=,original
C1=CC(=CC=C1NC(=O)C2=CC(=CC(=C2)NC(=O)NC3=CC(=CC(=C3)C(=O)NC4=CC=C(C=C4)S(=O)(=O)O)C(=O)NC5=CC=C(C=C5)S(=O)(=O)O)C(=O)NC6=CC=C(C=C6)S(=O)(=O)O)S(=O)(=O)O,nM,=,original
CC1=C(C=C(C=C1)C(=O)NC2=C(C=C(C=C2)P(=O)(O)[O-])P(=O)(O)[O-])NC(=O)C3=CC(=CC=C3)NC(=O)NC4=CC=CC(=C4)C(=O)NC5=C(C=CC(=C5)C(=O)NC6=C(C=C(C=C6)P(=O)(O)[O-])P(=O)(O)[O-])C.[Na+].[Na+].[Na+].[Na+],nM,>,original
C1=CC(=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(=O)NC3=C4C=C(C=CC4=CC(=C3)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC5=C6C=C(C=CC6=CC(=C5)S(=O)(=O)O)S(=O)(=O)O,nM,>,original
C1=CC(=CC=C1C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC=C(C=C4)NC(=O)NC5=CC=C(C=C5)C(=O)NC6=CC=C(C=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,nM,=,original
