SMILES,Kd,Kd-min,Kd-max
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1(N)CCC(c2ccccc2)CC1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,390,390.0,390.0
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)CN)[C@@H](C)O)C(C)C)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,1000,1000.0,1000.0
CN(C)c1ccc2[nH]c3c(C(=O)O)cc(=O)c(=O)c=3oc2c1,470,470.0,470.0
O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1,26.5,26.5,26.5
O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)ccc2F)c1,1.55,1.55,1.55
O=C(Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c1)Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c1,4.66,4.66,4.66
O=C(Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)c1)Nc1cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)cc(C(=O)Nc2ccc(S(=O)(=O)O)cc2)c1,6.88,6.88,6.88
Cc1ccc(C(=O)Nc2ccc(P(=O)([O-])O)cc2P(=O)([O-])O)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(P(=O)([O-])O)cc4P(=O)([O-])O)ccc3C)c2)c1,>100,100.0,200.0
O=C(Nc1cccc(C(=O)Nc2cc(S(=O)(=O)O)cc3ccc(S(=O)(=O)O)cc23)c1)Nc1cccc(C(=O)Nc2cc(S(=O)(=O)O)cc3ccc(S(=O)(=O)O)cc23)c1,>100,100.0,200.0
O=C(Nc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)cc2)cc1)Nc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)O)c4cc(S(=O)(=O)O)cc(S(=O)(=O)O)c34)cc2)cc1,0.85,0.85,0.85
CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@@H](C(=O)NCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC1=O,1,1.0,1.0
CCNC(=O)[C@@H]1CSCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)N1,21,21.0,21.0
